domain,type,sponsor
.aaa,generic,"American Automobile Association, Inc."
.aarp,generic,AARP
.abb,generic,ABB Ltd
.abbott,generic,"Abbott Laboratories, Inc."
.abbvie,generic,AbbVie Inc.
.abogado,generic,Top Level Domain Holdings Limited
.abudhabi,generic,Abu Dhabi Systems and Information Centre
.ac,country-code,Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
.academy,generic,"Half Oaks, LLC"
.accenture,generic,Accenture plc
.accountant,generic,dot Accountant Limited
.accountants,generic,"Knob Town, LLC"
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
.active,generic,"The Active Network, Inc"
.actor,generic,United TLD Holdco Ltd.
.ad,country-code,Andorra Telecom
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
.ads,generic,Charleston Road Registry Inc.
.adult,generic,ICM Registry AD LLC
.ae,country-code,Telecommunication Regulatory Authority (TRA)
.aeg,generic,Aktiebolaget Electrolux
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
.af,country-code,Ministry of Communications and IT
.afl,generic,Australian Football League
.ag,country-code,UHSA School of Medicine
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
.agency,generic,"Steel Falls, LLC"
.ai,country-code,Government of Anguilla
.aig,generic,"American International Group, Inc."
.airforce,generic,United TLD Holdco Ltd.
.airtel,generic,Bharti Airtel Limited
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
.al,country-code,Electronic and Postal Communications Authority - AKEP
.alibaba,generic,Alibaba Group Holding Limited
.alipay,generic,Alibaba Group Holding Limited
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
.ally,generic,Ally Financial Inc.
.alsace,generic,REGION D ALSACE
.am,country-code,"""Internet Society"" Non-governmental Organization"
.amica,generic,Amica Mutual Insurance Company
.amsterdam,generic,Gemeente Amsterdam
.an,country-code,Retired
.analytics,generic,Campus IP LLC
.android,generic,Charleston Road Registry Inc.
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto
.apartments,generic,"June Maple, LLC"
.app,generic,Charleston Road Registry Inc.
.apple,generic,Apple Inc.
.aq,country-code,Antarctica Network Information Centre Limited
.aquarelle,generic,Aquarelle.com
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica
.aramco,generic,Aramco Services Company
.archi,generic,STARTING DOT LIMITED
.army,generic,United TLD Holdco Ltd.
.arpa,infrastructure,Internet Architecture Board (IAB)
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.
.as,country-code,AS Domain Registry
.asia,sponsored,DotAsia Organisation Ltd.
.associates,generic,"Baxter Hill, LLC"
.at,country-code,nic.at GmbH
.attorney,generic,"United TLD Holdco, Ltd"
.au,country-code,.au Domain Administration (auDA)
.auction,generic,"United TLD HoldCo, Ltd."
.audi,generic,AUDI Aktiengesellschaft
.audio,generic,"Uniregistry, Corp."
.author,generic,"Amazon Registry Services, Inc."
.auto,generic,Cars Registry Limited
.autos,generic,"DERAutos, LLC"
.avianca,generic,Aerovias del Continente Americano S.A. Avianca
.aw,country-code,SETAR
.aws,generic,"Amazon Registry Services, Inc."
.ax,country-code,Ålands landskapsregering
.axa,generic,AXA SA
.az,country-code,IntraNS
.azure,generic,Microsoft Corporation
.ba,country-code,Universtiy Telinformatic Centre (UTIC)
.baby,generic,"Johnson & Johnson Services, Inc."
.baidu,generic,"Baidu, Inc."
.band,generic,"United TLD Holdco, Ltd"
.bank,generic,"fTLD Registry Services, LLC"
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.barcelona,generic,Municipi de Barcelona
.barclaycard,generic,Barclays Bank PLC
.barclays,generic,Barclays Bank PLC
.barefoot,generic,"Gallo Vineyards, Inc."
.bargains,generic,"Half Hallow, LLC"
.bauhaus,generic,Werkhaus GmbH
.bayern,generic,Bayern Connect GmbH
.bb,country-code,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
.bbc,generic,British Broadcasting Corporation
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
.bcg,generic,"The Boston Consulting Group, Inc."
.bcn,generic,Municipi de Barcelona
.bd,country-code,Ministry of Post & Telecommunications Bangladesh Secretariat
.be,country-code,DNS Belgium vzw/asbl
.beats,generic,"Beats Electronics, LLC"
.beer,generic,Top Level Domain Holdings Limited
.bentley,generic,Bentley Motors Limited
.berlin,generic,dotBERLIN GmbH & Co. KG
.best,generic,BestTLD Pty Ltd
.bet,generic,Afilias plc
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
.bg,country-code,Register.BG
.bh,country-code,Telecommunications Regulatory Authority (TRA)
.bharti,generic,Bharti Enterprises (Holding) Private Limited
.bi,country-code,Centre National de l'Informatique
.bible,generic,American Bible Society
.bid,generic,dot Bid Limited
.bike,generic,"Grand Hollow, LLC"
.bing,generic,Microsoft Corporation
.bingo,generic,"Sand Cedar, LLC"
.bio,generic,STARTING DOT LIMITED
.biz,generic-restricted,"Neustar, Inc."
.bj,country-code,Benin Telecoms S.A.
.bl,country-code,Not assigned
.black,generic,Afilias Limited
.blackfriday,generic,"Uniregistry, Corp."
.bloomberg,generic,Bloomberg IP Holdings LLC
.blue,generic,Afilias Limited
.bm,country-code,Registry General Ministry of Labour and Immigration
.bms,generic,Bristol-Myers Squibb Company
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft
.bn,country-code,Brunei Darussalam Network Information Centre Sdn Bhd (BNNIC)
.bnl,generic,Banca Nazionale del Lavoro
.bnpparibas,generic,BNP Paribas
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
.boats,generic,"DERBoats, LLC"
.boehringer,generic,Boehringer Ingelheim International GmbH
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
.bond,generic,Bond University Limited
.boo,generic,Charleston Road Registry Inc.
.book,generic,"Amazon Registry Services, Inc."
.boots,generic,THE BOOTS COMPANY PLC
.bosch,generic,Robert Bosch GMBH
.bostik,generic,Bostik SA
.bot,generic,"Amazon Registry Services, Inc."
.boutique,generic,"Over Galley, LLC"
.bq,country-code,Not assigned
.br,country-code,Comite Gestor da Internet no Brasil
.bradesco,generic,Banco Bradesco S.A.
.bridgestone,generic,Bridgestone Corporation
.broadway,generic,"Celebrate Broadway, Inc."
.broker,generic,DOTBROKER REGISTRY LTD
.brother,generic,"Brother Industries, Ltd."
.brussels,generic,DNS.be vzw
.bs,country-code,The College of the Bahamas
.bt,country-code,Ministry of Information and Communications
.budapest,generic,Top Level Domain Holdings Limited
.bugatti,generic,Bugatti International SA
.build,generic,Plan Bee LLC
.builders,generic,"Atomic Madison, LLC"
.business,generic,"Spring Cross, LLC"
.buy,generic,"Amazon Registry Services, INC"
.buzz,generic,DOTSTRATEGY CO.
.bv,country-code,UNINETT Norid A/S
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA)
.by,country-code,"Reliable Software, Ltd."
.bz,country-code,University of Belize
.bzh,generic,Association www.bzh
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
.cab,generic,"Half Sunset, LLC"
.cafe,generic,"Pioneer Canyon, LLC"
.cal,generic,Charleston Road Registry Inc.
.call,generic,"Amazon Registry Services, Inc."
.camera,generic,"Atomic Maple, LLC"
.camp,generic,"Delta Dynamite, LLC"
.cancerresearch,generic,Australian Cancer Research Foundation
.canon,generic,Canon Inc.
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry
.capital,generic,"Delta Mill, LLC"
.car,generic,Cars Registry Limited
.caravan,generic,"Caravan International, Inc."
.cards,generic,"Foggy Hollow, LLC"
.care,generic,"Goose Cross, LLC"
.career,generic,dotCareer LLC
.careers,generic,"Wild Corner, LLC"
.cars,generic,Cars Registry Limited
.cartier,generic,Richemont DNS Inc.
.casa,generic,Top Level Domain Holdings Limited
.cash,generic,"Delta Lake, LLC"
.casino,generic,"Binky Sky, LLC"
.cat,sponsored,Fundacio puntCAT
.catering,generic,New Falls. LLC
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA
.cbn,generic,"The Christian Broadcasting Network, Inc."
.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT
.ceb,generic,The Corporate Executive Board Company
.center,generic,"Tin Mill, LLC"
.ceo,generic,CEOTLD Pty Ltd
.cern,generic,"European Organization for Nuclear Research (""CERN"")"
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL)
.cfa,generic,CFA Institute
.cfd,generic,DOTCFD REGISTRY LTD
.cg,country-code,ONPT Congo and Interpoint Switzerland
.ch,country-code,SWITCH The Swiss Education & Research Network
.chanel,generic,Chanel International B.V.
.channel,generic,Charleston Road Registry Inc.
.chase,generic,JPMorgan Chase & Co.
.chat,generic,"Sand Fields, LLC"
.cheap,generic,"Sand Cover, LLC"
.chloe,generic,Richemont DNS Inc.
.christmas,generic,"Uniregistry, Corp."
.chrome,generic,Charleston Road Registry Inc.
.church,generic,"Holly Fileds, LLC"
.ci,country-code,INP-HB Institut National Polytechnique Felix Houphouet Boigny
.cipriani,generic,Hotel Cipriani Srl
.circle,generic,"Amazon Registry Services, Inc."
.cisco,generic,"Cisco Technology, Inc."
.citic,generic,CITIC Group Corporation
.city,generic,"Snow Sky, LLC"
.cityeats,generic,"Lifestyle Domain Holdings, Inc."
.ck,country-code,Telecom Cook Islands Ltd.
.cl,country-code,NIC Chile (University of Chile)
.claims,generic,"Black Corner, LLC"
.cleaning,generic,"Fox Shadow, LLC"
.click,generic,"Uniregistry, Corp."
.clinic,generic,"Goose Park, LLC"
.clinique,generic,The Estée Lauder Companies Inc.
.clothing,generic,"Steel Lake, LLC"
.cloud,generic,ARUBA PEC S.p.A.
.club,generic,".CLUB DOMAINS, LLC"
.clubmed,generic,Club Méditerranée S.A.
.cm,country-code,Cameroon Telecommunications (CAMTEL)
.cn,country-code,China Internet Network Information Center (CNNIC)
.co,country-code,.CO Internet S.A.S.
.coach,generic,"Koko Island, LLC"
.codes,generic,"Puff Willow, LLC"
.coffee,generic,"Trixy Cover, LLC"
.college,generic,XYZ.COM LLC
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH
.com,generic,VeriSign Global Registry Services
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA
.community,generic,"Fox Orchard, LLC"
.company,generic,"Silver Avenue, LLC"
.compare,generic,iSelect Ltd
.computer,generic,"Pine Mill, LLC"
.comsec,generic,"VeriSign, Inc."
.condos,generic,"Pine House, LLC"
.construction,generic,"Fox Dynamite, LLC"
.consulting,generic,"United TLD Holdco, LTD."
.contact,generic,"Top Level Spectrum, Inc."
.contractors,generic,"Magic Woods, LLC"
.cooking,generic,Top Level Domain Holdings Limited
.cool,generic,"Koko Lake, LLC"
.coop,sponsored,DotCooperation LLC
.corsica,generic,Collectivité Territoriale de Corse
.country,generic,Top Level Domain Holdings Limited
.coupon,generic,"Amazon Registry Services, Inc."
.coupons,generic,"Black Island, LLC"
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
.cr,country-code,National Academy of Sciences Academia Nacional de Ciencias
.credit,generic,"Snow Shadow, LLC"
.creditcard,generic,"Binky Frostbite, LLC"
.creditunion,generic,"CUNA Performance Resources, LLC"
.cricket,generic,dot Cricket Limited
.crown,generic,Crown Equipment Corporation
.crs,generic,Federated Co-operatives Limited
.cruises,generic,"Spring Way, LLC"
.csc,generic,"Alliance-One Services, Inc."
.cu,country-code,CENIAInternet Industria y San Jose Capitolio Nacional
.cuisinella,generic,SALM S.A.S.
.cv,country-code,Agência Nacional das Comunicações (ANAC)
.cw,country-code,University of Curacao
.cx,country-code,Christmas Island Domain Administration Limited
.cy,country-code,University of Cyprus
.cymru,generic,Nominet UK
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd."
.cz,country-code,"CZ.NIC, z.s.p.o"
.dabur,generic,Dabur India Limited
.dad,generic,Charleston Road Registry Inc.
.dance,generic,United TLD Holdco Ltd.
.date,generic,dot Date Limited
.dating,generic,"Pine Fest, LLC"
.datsun,generic,"NISSAN MOTOR CO., LTD."
.day,generic,Charleston Road Registry Inc.
.dclk,generic,Charleston Road Registry Inc.
.dds,generic,Minds + Machines Group Limited
.de,country-code,DENIC eG
.dealer,generic,"Dealer Dot Com, Inc."
.deals,generic,"Sand Sunset, LLC"
.degree,generic,"United TLD Holdco, Ltd"
.delivery,generic,"Steel Station, LLC"
.dell,generic,Dell Inc.
.deloitte,generic,Deloitte Touche Tohmatsu
.delta,generic,"Delta Air Lines, Inc."
.democrat,generic,United TLD Holdco Ltd.
.dental,generic,"Tin Birch, LLC"
.dentist,generic,"United TLD Holdco, Ltd"
.desi,generic,Desi Networks LLC
.design,generic,"Top Level Design, LLC"
.dev,generic,Charleston Road Registry Inc.
.diamonds,generic,"John Edge, LLC"
.diet,generic,"Uniregistry, Corp."
.digital,generic,"Dash Park, LLC"
.direct,generic,"Half Trail, LLC"
.directory,generic,"Extra Madison, LLC"
.discount,generic,"Holly Hill, LLC"
.dj,country-code,Djibouti Telecom S.A
.dk,country-code,Dansk Internet Forum
.dm,country-code,DotDM Corporation
.dnp,generic,"Dai Nippon Printing Co., Ltd."
.do,country-code,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
.docs,generic,Charleston Road Registry Inc.
.dog,generic,"Koko Mill, LLC"
.doha,generic,Communications Regulatory Authority (CRA)
.domains,generic,"Sugar Cross, LLC"
.doosan,generic,Retired
.download,generic,dot Support Limited
.drive,generic,Charleston Road Registry Inc.
.dubai,generic,Dubai Smart Government Department
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
.dz,country-code,CERIST
.earth,generic,"Interlink Co., Ltd."
.eat,generic,Charleston Road Registry Inc.
.ec,country-code,NIC.EC (NICEC) S.A.
.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.
.edu,sponsored,EDUCAUSE
.education,generic,"Brice Way, LLC"
.ee,country-code,Eesti Interneti Sihtasutus (EIS)
.eg,country-code,Egyptian Universities Network (EUN) Supreme Council of Universities
.eh,country-code,Not assigned
.email,generic,"Spring Madison, LLC"
.emerck,generic,Merck KGaA
.energy,generic,"Binky Birch, LLC"
.engineer,generic,United TLD Holdco Ltd.
.engineering,generic,Romeo Canyon
.enterprises,generic,"Snow Oaks, LLC"
.epson,generic,Seiko Epson Corporation
.equipment,generic,"Corn Station, LLC"
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel)
.erni,generic,ERNI Group Holding AG
.es,country-code,Red.es
.esq,generic,Charleston Road Registry Inc.
.estate,generic,"Trixy Park, LLC"
.et,country-code,Ethio telecom
.eu,country-code,EURid vzw/asbl
.eurovision,generic,European Broadcasting Union (EBU)
.eus,generic,Puntueus Fundazioa
.events,generic,"Pioneer Maple, LLC"
.everbank,generic,EverBank
.exchange,generic,"Spring Falls, LLC"
.expert,generic,"Magic Pass, LLC"
.exposed,generic,"Victor Beach, LLC"
.express,generic,"Sea Sunset, LLC"
.extraspace,generic,Extra Space Storage LLC
.fage,generic,Fage International S.A.
.fail,generic,"Atomic Pipe, LLC"
.fairwinds,generic,"FairWinds Partners, LLC"
.faith,generic,dot Faith Limited
.family,generic,United TLD Holdco Ltd.
.fan,generic,Asiamix Digital Ltd
.fans,generic,Asiamix Digital Limited
.farm,generic,"Just Maple, LLC"
.fashion,generic,Top Level Domain Holdings Limited
.fast,generic,"Amazon Registry Services, Inc."
.feedback,generic,"Top Level Spectrum, Inc."
.ferrero,generic,Ferrero Trading Lux S.A.
.fi,country-code,Finnish Communications Regulatory Authority
.film,generic,Motion Picture Domain Registry Pty Ltd
.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
.finance,generic,"Cotton Cypress, LLC"
.financial,generic,"Just Cover, LLC"
.firestone,generic,Bridgestone Corporation
.firmdale,generic,Firmdale Holdings Limited
.fish,generic,"Fox Woods, LLC"
.fishing,generic,Top Level Domain Holdings Limited
.fit,generic,Minds + Machines Group Limited
.fitness,generic,"Brice Orchard, LLC"
.fj,country-code,The University of the South Pacific IT Services
.fk,country-code,Falkland Islands Government
.flickr,generic,Yahoo! Domain Services Inc.
.flights,generic,"Fox Station, LLC"
.flir,generic,"FLIR Systems, Inc."
.florist,generic,"Half Cypress, LLC"
.flowers,generic,"Uniregistry, Corp."
.flsmidth,generic,FLSmidth A/S
.fly,generic,Charleston Road Registry Inc.
.fm,country-code,FSM Telecommunications Corporation
.fo,country-code,FO Council
.foo,generic,Charleston Road Registry Inc.
.football,generic,"Foggy Farms, LLC"
.ford,generic,Ford Motor Company
.forex,generic,DOTFOREX REGISTRY LTD
.forsale,generic,"United TLD Holdco, LLC"
.forum,generic,"Fegistry, LLC"
.foundation,generic,"John Dale, LLC"
.fox,generic,"FOX Registry, LLC"
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH
.frl,generic,FRLregistry B.V.
.frogans,generic,OP3FT
.frontier,generic,Frontier Communications Corporation
.ftr,generic,Frontier Communications Corporation
.fund,generic,"John Castle, LLC"
.furniture,generic,"Lone Fields, LLC"
.futbol,generic,"United TLD Holdco, Ltd."
.fyi,generic,"Silver Tigers, LLC"
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
.gal,generic,Asociación puntoGAL
.gallery,generic,"Sugar House, LLC"
.gallo,generic,"Gallo Vineyards, Inc."
.gallup,generic,"Gallup, Inc."
.game,generic,"Uniregistry, Corp."
.garden,generic,Top Level Domain Holdings Limited
.gb,country-code,Reserved Domain - IANA
.gbiz,generic,Charleston Road Registry Inc.
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC)
.gdn,generic,"Joint Stock Company ""Navigation-information systems"""
.ge,country-code,Caucasus Online
.gea,generic,GEA Group Aktiengesellschaft
.gent,generic,Combell nv
.genting,generic,Resorts World Inc. Pte. Ltd.
.gf,country-code,Net Plus
.gg,country-code,Island Networks Ltd.
.ggee,generic,"GMO Internet, Inc."
.gh,country-code,Network Computer Systems Limited
.gi,country-code,Sapphire Networks
.gift,generic,"Uniregistry, Corp."
.gifts,generic,"Goose Sky, LLC"
.gives,generic,United TLD Holdco Ltd.
.giving,generic,Giving Limited
.gl,country-code,TELE Greenland A/S
.glass,generic,"Black Cover, LLC"
.gle,generic,Charleston Road Registry Inc.
.global,generic,Dot Global Domain Registry Limited
.globo,generic,Globo Comunicação e Participações S.A
.gm,country-code,GM-NIC
.gmail,generic,Charleston Road Registry Inc.
.gmbh,generic,"Extra Dynamite, LLC"
.gmo,generic,"GMO Internet, Inc."
.gmx,generic,1&1 Mail & Media GmbH
.gn,country-code,Centre National des Sciences Halieutiques de Boussoura
.gold,generic,"June Edge, LLC"
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD."
.golf,generic,"Lone Falls, LLC"
.goo,generic,NTT Resonant Inc.
.goog,generic,Charleston Road Registry Inc.
.google,generic,Charleston Road Registry Inc.
.gop,generic,"Republican State Leadership Committee, Inc."
.got,generic,"Amazon Registry Services, Inc."
.gov,sponsored,"General Services Administration Attn: QTDC, 2E08 (.gov Domain Registration)"
.gp,country-code,Networking Technologies Group
.gq,country-code,GETESA
.gr,country-code,ICS-FORTH GR
.grainger,generic,"Grainger Registry Services, LLC"
.graphics,generic,"Over Madison, LLC"
.gratis,generic,"Pioneer Tigers, LLC"
.green,generic,Afilias Limited
.gripe,generic,"Corn Sunset, LLC"
.group,generic,"Romeo Town, LLC"
.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI)
.gt,country-code,Universidad del Valle de Guatemala
.gu,country-code,University of Guam Computer Center
.gucci,generic,Guccio Gucci S.p.a.
