domain,type,sponsor
.sandvik,generic,Sandvik AB
.sandvikcoromant,generic,Sandvik AB
.sanofi,generic,Sanofi
.sap,generic,SAP AG
.sapo,generic,PT Comunicacoes S.A.
.sarl,generic,"Delta Orchard, LLC"
.sas,generic,Research IP LLC
.saxo,generic,Saxo Bank A/S
.sb,country-code,Solomon Telekom Company Limited
.sbi,generic,STATE BANK OF INDIA
.sbs,generic,SPECIAL BROADCASTING SERVICE CORPORATION
.sc,country-code,VCS Pty Ltd
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ)
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")"
.schaeffler,generic,Schaeffler Technologies AG & Co. KG
.schmidt,generic,SALM S.A.S.
.scholarships,generic,"Scholarships.com, LLC"
.school,generic,"Little Galley, LLC"
.schule,generic,"Outer Moon, LLC"
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG
.science,generic,dot Science Limited
.scor,generic,SCOR SE
.scot,generic,Dot Scot Registry Limited
.sd,country-code,Sudan Internet Society
.se,country-code,The Internet Infrastructure Foundation
.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)"
.security,generic,XYZ.COM LLC
.seek,generic,Seek Limited
.select,generic,iSelect Ltd
.sener,generic,"Sener Ingeniería y Sistemas, S.A."
.services,generic,"Fox Castle, LLC"
.seven,generic,Seven West Media Ltd
.sew,generic,SEW-EURODRIVE GmbH & Co KG
.sex,generic,ICM Registry SX LLC
.sexy,generic,"Uniregistry, Corp."
.sfr,generic,Societe Francaise du Radiotelephone - SFR
.sg,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
.sh,country-code,Government of St. Helena
.sharp,generic,Sharp Corporation
.shaw,generic,Shaw Cablesystems G.P.
.shell,generic,Shell Information Technology International Inc
.shia,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
.shiksha,generic,Afilias Limited
.shoes,generic,"Binky Galley, LLC"
.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.show,generic,"Snow Beach, LLC"
.shriram,generic,Shriram Capital Ltd.
.si,country-code,Academic and Research Network of Slovenia (ARNES)
.sina,generic,Sina Corporation
.singles,generic,"Fern Madison, LLC"
.site,generic,DotSite Inc.
.sj,country-code,UNINETT Norid A/S
.sk,country-code,"SK-NIC, a.s."
.ski,generic,STARTING DOT LIMITED
.skin,generic,L'Oréal
.sky,generic,Sky International AG
.skype,generic,Microsoft Corporation
.sl,country-code,Sierratel
.sm,country-code,Telecom Italia San Marino S.p.A.
.smile,generic,"Amazon Registry Services, Inc."
.sn,country-code,Universite Cheikh Anta Diop NIC Senegal
.sncf,generic,SNCF (Société Nationale des Chemins de fer Francais)
.so,country-code,Ministry of Post and Telecommunications
.soccer,generic,"Foggy Shadow, LLC"
.social,generic,United TLD Holdco Ltd.
.softbank,generic,SoftBank Group Corp.
.software,generic,"United TLD Holdco, Ltd"
.sohu,generic,Sohu.com Limited
.solar,generic,"Ruby Town, LLC"
.solutions,generic,"Silver Cover, LLC"
.song,generic,"Amazon Registry Services, Inc."
.sony,generic,Sony Corporation
.soy,generic,Charleston Road Registry Inc.
.space,generic,DotSpace Inc.
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG
.spot,generic,"Amazon Registry Services, Inc."
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD
.sr,country-code,Telesur
.srl,generic,InterNetX Corp.
.ss,country-code,Not assigned
.st,country-code,Tecnisys
.stada,generic,STADA Arzneimittel AG
.star,generic,Star India Private Limited
.starhub,generic,StarHub Limited
.statebank,generic,STATE BANK OF INDIA
.statefarm,generic,State Farm Mutual Automobile Insurance Company
.statoil,generic,Statoil ASA
.stc,generic,Saudi Telecom Company
.stcgroup,generic,Saudi Telecom Company
.stockholm,generic,Stockholms kommun
.storage,generic,Self Storage Company LLC
.store,generic,DotStore Inc.
.stream,generic,dot Stream Limited
.studio,generic,United TLD Holdco Ltd.
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
.style,generic,"Binky Moon, LLC"
.su,country-code,Russian Institute for Development of Public Networks (ROSNIIROS)
.sucks,generic,Vox Populi Registry Ltd.
.supplies,generic,"Atomic Fields, LLC"
.supply,generic,"Half Falls, LLC"
.support,generic,"Grand Orchard, LLC"
.surf,generic,Top Level Domain Holdings Limited
.surgery,generic,"Tin Avenue, LLC"
.suzuki,generic,SUZUKI MOTOR CORPORATION
.sv,country-code,SVNet
.swatch,generic,The Swatch Group Ltd
.swiss,generic,Swiss Confederation
.sx,country-code,SX Registry SA B.V.
.sy,country-code,National Agency for Network Services (NANS)
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet"
.symantec,generic,Symantec Corporation
.systems,generic,"Dash Cypress, LLC"
.sz,country-code,University of Swaziland Department of Computer Science
.tab,generic,Tabcorp Holdings Limited
.taipei,generic,Taipei City Government
.talk,generic,"Amazon Registry Services, Inc."
.taobao,generic,Alibaba Group Holding Limited
.tatamotors,generic,Tata Motors Ltd
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
.tattoo,generic,"Uniregistry, Corp."
.tax,generic,"Storm Orchard, LLC"
.taxi,generic,"Pine Falls, LLC"
.tc,country-code,Melrex TC
.tci,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
.td,country-code,Société des télécommunications du Tchad (SOTEL TCHAD)
.team,generic,"Atomic Lake, LLC"
.tech,generic,Dot Tech LLC
.technology,generic,"Auburn Falls, LLC"
.tel,sponsored,Telnic Ltd.
.telecity,generic,TelecityGroup International Limited
.telefonica,generic,Telefónica S.A.
.temasek,generic,Temasek Holdings (Private) Limited
.tennis,generic,"Cotton Bloom, LLC"
.teva,generic,Teva Pharmaceutical Industries Limited
.tf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.tg,country-code,Autorite de Reglementation des secteurs de Postes et de Telecommunications (ART&P)
.th,country-code,Thai Network Information Center Foundation
.thd,generic,"Homer TLC, Inc."
.theater,generic,"Blue Tigers, LLC"
.theatre,generic,XYZ.COM LLC
.tickets,generic,Accent Media Limited
.tienda,generic,"Victor Manor, LLC"
.tiffany,generic,Tiffany and Company
.tips,generic,"Corn Willow, LLC"
.tires,generic,"Dog Edge, LLC"
.tirol,generic,punkt Tirol GmbH
.tj,country-code,Information Technology Center
.tk,country-code,Telecommunication Tokelau Corporation (Teletok)
.tl,country-code,Ministry of Transport and Communications; National Division of Information and Technology
.tm,country-code,TM Domain Registry Ltd
.tmall,generic,Alibaba Group Holding Limited
.tn,country-code,Agence Tunisienne d'Internet
.to,country-code,Government of the Kingdom of Tonga H.R.H. Crown Prince Tupouto'a c/o Consulate of Tonga
.today,generic,"Pearl Woods, LLC"
.tokyo,generic,"GMO Registry, Inc."
.tools,generic,"Pioneer North, LLC"
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd."
.toray,generic,"Toray Industries, Inc."
.toshiba,generic,TOSHIBA Corporation
.total,generic,Total SA
.tours,generic,"Sugar Station, LLC"
.town,generic,"Koko Moon, LLC"
.toyota,generic,TOYOTA MOTOR CORPORATION
.toys,generic,"Pioneer Orchard, LLC"
.tp,country-code,Retired
.tr,country-code,Middle East Technical University Department of Computer Engineering
.trade,generic,Elite Registry Limited
.trading,generic,DOTTRADING REGISTRY LTD
.training,generic,"Wild Willow, LLC"
.travel,sponsored,"Tralliance Registry Management Company, LLC."
.travelers,generic,"Travelers TLD, LLC"
.travelersinsurance,generic,"Travelers TLD, LLC"
.trust,generic,Artemis Internet Inc
.trv,generic,"Travelers TLD, LLC"
.tt,country-code,University of the West Indies Faculty of Engineering
.tube,generic,Latin American Telecom LLC
.tui,generic,TUI AG
.tunes,generic,"Amazon Registry Services, Inc."
.tushu,generic,"Amazon Registry Services, Inc."
.tv,country-code,Ministry of Finance and Tourism
.tvs,generic,T V SUNDRAM IYENGAR & SONS PRIVATE LIMITED
.tw,country-code,Taiwan Network Information Center (TWNIC)
.tz,country-code,Tanzania Network Information Centre (tzNIC)
.ua,country-code,Hostmaster Ltd.
.ubs,generic,UBS AG
.ug,country-code,Uganda Online Ltd.
.uk,country-code,Nominet UK
.um,country-code,Not assigned
.unicom,generic,China United Network Communications Corporation Limited
.university,generic,"Little Station, LLC"
.uno,generic,Dot Latin LLC
.uol,generic,UBN INTERNET LTDA.
.us,country-code,"NeuStar, Inc."
.uy,country-code,SeCIU - Universidad de la Republica
.uz,country-code,Computerization and Information Technologies Developing Center UZINFOCOM
.va,country-code,Holy See Secretariat of State Department of Telecommunications
.vacations,generic,"Atomic Tigers, LLC"
.vana,generic,"Lifestyle Domain Holdings, Inc."
.vc,country-code,"Ministry of Telecommunications, Science, Technology and Industry"
.ve,country-code,Comisión Nacional de Telecomunicaciones (CONATEL)
.vegas,generic,"Dot Vegas, Inc."
.ventures,generic,"Binky Lake, LLC"
.verisign,generic,"VeriSign, Inc."
.versicherung,generic,dotversicherung-registry GmbH
.vet,generic,"United TLD Holdco, Ltd"
.vg,country-code,Telecommunications Regulatory Commission of the Virgin Islands
.vi,country-code,Virgin Islands Public Telcommunications System c/o COBEX Internet Services
.viajes,generic,"Black Madison, LLC"
.video,generic,"United TLD Holdco, Ltd"
.vig,generic,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
.viking,generic,Viking River Cruises (Bermuda) Ltd.
.villas,generic,"New Sky, LLC"
.vin,generic,"Holly Shadow, LLC"
.vip,generic,Minds + Machines Group Limited
.virgin,generic,Virgin Enterprises Limited
.vision,generic,"Koko Station, LLC"
.vista,generic,Vistaprint Limited
.vistaprint,generic,Vistaprint Limited
.viva,generic,Saudi Telecom Company
.vlaanderen,generic,DNS.be vzw
.vn,country-code,Ministry of Information and Communications of Socialist Republic of Viet Nam
.vodka,generic,Top Level Domain Holdings Limited
.volkswagen,generic,Volkswagen Group of America Inc.
.vote,generic,Monolith Registry LLC
.voting,generic,Valuetainment Corp.
.voto,generic,Monolith Registry LLC
.voyage,generic,"Ruby House, LLC"
.vu,country-code,Telecom Vanuatu Limited
.vuelos,generic,Travel Reservations SRL
.wales,generic,Nominet UK
.walter,generic,Sandvik AB
.wang,generic,Zodiac Registry Limited
.wanggou,generic,"Amazon Registry Services, Inc."
.warman,generic,Weir Group IP Limited
.watch,generic,"Sand Shadow, LLC"
.watches,generic,Richemont DNS Inc.
.weather,generic,"The Weather Channel, LLC"
.weatherchannel,generic,"The Weather Channel, LLC"
.webcam,generic,dot Webcam Limited
.weber,generic,Saint-Gobain Weber SA
.website,generic,DotWebsite Inc.
.wed,generic,"Atgron, Inc."
.wedding,generic,Top Level Domain Holdings Limited
.weibo,generic,Sina Corporation
.weir,generic,Weir Group IP Limited
.wf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.whoswho,generic,Who's Who Registry
.wien,generic,punkt.wien GmbH
.wiki,generic,"Top Level Design, LLC"
.williamhill,generic,William Hill Organization Limited
.win,generic,First Registry Limited
.windows,generic,Microsoft Corporation
.wine,generic,"June Station, LLC"
.wme,generic,"William Morris Endeavor Entertainment, LLC"
.wolterskluwer,generic,Wolters Kluwer N.V.
.work,generic,Top Level Domain Holdings Limited
.works,generic,"Little Dynamite, LLC"
.world,generic,"Bitter Fields, LLC"
.ws,country-code,Government of Samoa Ministry of Foreign Affairs & Trade
.wtc,generic,"World Trade Centers Association, Inc."
.wtf,generic,"Hidden Way, LLC"
.xbox,generic,Microsoft Corporation
.xerox,generic,Xerox DNHC LLC
.xihuan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.xin,generic,Elegant Leader Limited
.测试,test,Internet Assigned Numbers Authority
.कॉम,generic,VeriSign Sarl
.परीक्षा,test,Internet Assigned Numbers Authority
.セール,generic,"Amazon Registry Services, Inc."
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
.ಭಾರತ,country-code,Not assigned
.慈善,generic,Excellent First Limited
.集团,generic,Eagle Horizon Limited
.在线,generic,TLD REGISTRY LIMITED
.한국,country-code,KISA (Korea Internet & Security Agency)
.ଭାରତ,country-code,Not assigned
.点看,generic,VeriSign Sarl
.คอม,generic,VeriSign Sarl
.ভাৰত,country-code,Not assigned
.ভারত,country-code,National Internet Exchange of India
.八卦,generic,Zodiac Scorpio Limited
‏.موقع‎,generic,Suhub Electronic Establishment
.বাংলা,country-code,Not assigned
.公益,generic,China Organizational Name Administration Center
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
.网站,generic,Global Website TLD Asia Limited
.移动,generic,Afilias Limited
.我爱你,generic,Tycoon Treasure Limited
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
.испытание,test,Internet Assigned Numbers Authority
.қаз,country-code,Association of IT Companies of Kazakhstan
.онлайн,generic,CORE Association
.сайт,generic,CORE Association
.联通,generic,China United Network Communications Corporation Limited
.срб,country-code,Serbian National Internet Domain Registry (RNIDS)
.бг,country-code,Not assigned
.бел,country-code,"Reliable Software, Ltd."
‏.קום‎,generic,VeriSign Sarl
.时尚,generic,RISE VICTORY LIMITED
.微博,generic,Sina Corporation
.테스트,test,Internet Assigned Numbers Authority
.淡马锡,generic,Temasek Holdings (Private) Limited
.ファッション,generic,"Amazon Registry Services, Inc."
.орг,generic,Public Interest Registry
.नेट,generic,VeriSign Sarl
.ストア,generic,"Amazon Registry Services, Inc."
.삼성,generic,"SAMSUNG SDS CO., LTD"
.சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED
.商店,generic,"Wild Island, LLC"
.商城,generic,Zodiac Aquarius Limited
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”
.мкд,country-code,Macedonian Academic Research Network Skopje
‏.טעסט‎,test,Internet Assigned Numbers Authority
.ею,country-code,EURid vzw/asbl
.ポイント,generic,"Amazon Registry Services, Inc."
.新闻,generic,Xinhua News Agency Guangdong Branch 新华通讯社广东分社
.工行,generic,Industrial and Commercial Bank of China Limited
.家電,generic,"Amazon Registry Services, Inc."
‏.كوم‎,generic,VeriSign Sarl
.中文网,generic,TLD REGISTRY LIMITED
.中信,generic,CITIC Group Corporation
.中国,country-code,China Internet Network Information Center (CNNIC)
.中國,country-code,China Internet Network Information Center (CNNIC)
.娱乐,generic,"Will Bloom, LLC"
.谷歌,generic,Charleston Road Registry Inc.
.భారత్,country-code,National Internet Exchange of India
.ලංකා,country-code,LK Domain Registry
.购物,generic,Minds + Machines Group Limited
.測試,test,Internet Assigned Numbers Authority
.クラウド,generic,"Amazon Registry Services, Inc."
.ભારત,country-code,National Internet Exchange of India
.भारत,country-code,National Internet Exchange of India
‏.آزمایشی‎,test,Internet Assigned Numbers Authority
.பரிட்சை,test,Internet Assigned Numbers Authority
.网店,generic,Zodiac Libra Limited
.संगठन,generic,Public Interest Registry
.餐厅,generic,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
.ком,generic,VeriSign Sarl
.укр,country-code,"Ukrainian Network Information Centre (UANIC), Inc."
.香港,country-code,Hong Kong Internet Registration Corporation Ltd.
.诺基亚,generic,Nokia Corporation
.食品,generic,"Amazon Registry Services, Inc."
.δοκιμή,test,Internet Assigned Numbers Authority
.飞利浦,generic,Koninklijke Philips N.V.
‏.إختبار‎,test,Internet Assigned Numbers Authority
.台湾,country-code,Taiwan Network Information Center (TWNIC)
.台灣,country-code,Taiwan Network Information Center (TWNIC)
.手表,generic,Richemont DNS Inc.
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd"
.мон,country-code,"Datacom Co.,Ltd"
‏.الجزائر‎,country-code,CERIST
‏.عمان‎,country-code,Telecommunications Regulatory Authority (TRA)
‏.ارامكو‎,generic,Aramco Services Company
‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM)
‏.العليان‎,generic,Crescent Holding GmbH
‏.امارات‎,country-code,Telecommunications Regulatory Authority (TRA)
‏.بازار‎,generic,CORE Association
‏.پاکستان‎,country-code,Not assigned
‏.الاردن‎,country-code,National Information Technology Center (NITC)
‏.موبايلي‎,generic,GreenTech Consultancy Company W.L.L.
‏.بھارت‎,country-code,National Internet Exchange of India
‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre
‏.السعودية‎,country-code,Communications and Information Technology Commission
‏.سودان‎,country-code,Sudan Internet Society
‏.همراه‎,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
‏.عراق‎,country-code,Communications and Media Commission (CMC)
‏.مليسيا‎,country-code,MYNIC Berhad
.澳門,country-code,Bureau of Telecommunications Regulation (DSRT)
.닷컴,generic,VeriSign Sarl
.政府,generic,"Net-Chinese Co., Ltd."
‏.شبكة‎,generic,International Domain Registry Pty. Ltd.
‏.بيتك‎,generic,Kuwait Finance House
.გე,country-code,Information Technologies Development Center (ITDC)
.机构,generic,Public Interest Registry
.组织机构,generic,Public Interest Registry
.健康,generic,Stable Tone Limited
.ไทย,country-code,Thai Network Information Center Foundation
‏.سورية‎,country-code,National Agency for Network Services (NANS)
.рус,generic,Rusnames Limited
.рф,country-code,Coordination Center for TLD RU
.珠宝,generic,Richemont DNS Inc.
‏.تونس‎,country-code,Agence Tunisienne d'Internet
.大拿,generic,VeriSign Sarl
.みんな,generic,Charleston Road Registry Inc.
.グーグル,generic,Charleston Road Registry Inc.
.ελ,country-code,ICS-FORTH GR
.世界,generic,Stable Tone Limited
.書籍,generic,Amazon EU S.à r.l.
.ഭാരതം,country-code,Not assigned
.ਭਾਰਤ,country-code,National Internet Exchange of India
.网址,generic,"KNET Co., Ltd"
.닷넷,generic,VeriSign Sarl
.コム,generic,VeriSign Sarl
.游戏,generic,"Spring Fields, LLC"
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
.企业,generic,"Dash McCook, LLC"
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd."
.嘉里大酒店,generic,Kerry Trading Co. Limited
‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA
‏.قطر‎,country-code,Communications Regulatory Authority
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
.இலங்கை,country-code,LK Domain Registry
.இந்தியா,country-code,National Internet Exchange of India
.հայ,country-code,"""Internet Society"" Non-governmental Organization"
.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT)
.テスト,test,Internet Assigned Numbers Authority
.政务,generic,China Organizational Name Administration Center
.xperia,generic,Sony Mobile Communications AB
.xxx,sponsored,ICM Registry LLC
.xyz,generic,XYZ.COM LLC
.yachts,generic,"DERYachts, LLC"
.yahoo,generic,Yahoo! Domain Services Inc.
.yamaxun,generic,"Amazon Registry Services, Inc."
.yandex,generic,"YANDEX, LLC"
.ye,country-code,TeleYemen
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD."
.yoga,generic,Top Level Domain Holdings Limited
.yokohama,generic,"GMO Registry, Inc."
.you,generic,"Amazon Registry Services, Inc."
.youtube,generic,Charleston Road Registry Inc.
.yt,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.za,country-code,ZA Domain Name Authority
.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
.zero,generic,"Amazon Registry Services, Inc."
.zip,generic,Charleston Road Registry Inc.
.zm,country-code,Zambia Information and Communications Technology Authority (ZICTA)
.zone,generic,"Outer Falls, LLC"
.zuerich,generic,Kanton Zürich (Canton of Zurich)
.zw,country-code,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
